                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.99972,                 1.5447,                  1.284,                0.44309,                0.36302,                0.35268,                0.26237,                 1.0753,                 1.9086,                 1.3604,               0.006733,               0.006733,               0.006733
                     35,                 1.0099,                  1.542,                 1.2865,                0.52242,                0.35853,                0.38424,                0.28853,                 1.0745,                 1.8313,                 1.3581,               0.006634,               0.006634,               0.006634
                     36,                  1.013,                 1.5307,                 1.2947,                0.44961,                0.37817,                0.36163,                0.27357,                 1.0678,                 1.8946,                  1.347,               0.006535,               0.006535,               0.006535
                     37,                0.98954,                 1.5173,                 1.2829,                0.48887,                0.33754,                0.35871,                 0.2651,                 1.0652,                 1.8655,                 1.3431,               0.006436,               0.006436,               0.006436
                     38,                 1.0047,                 1.5194,                 1.2819,                0.52746,                0.32768,                 0.3539,                0.26614,                 1.0774,                 1.9177,                 1.3547,               0.006337,               0.006337,               0.006337
                     39,                0.99806,                 1.5047,                 1.2821,                 0.5393,                0.34276,                0.37517,                0.27714,                  1.053,                 1.8139,                 1.3359,               0.006238,               0.006238,               0.006238
                     40,                0.98327,                 1.4838,                 1.2672,                0.46125,                0.35054,                0.34817,                0.25921,                 1.0666,                 1.9122,                 1.3458,               0.006139,               0.006139,               0.006139
                     41,                0.98428,                 1.4731,                 1.2713,                0.51601,                0.35008,                0.37069,                0.28383,                 1.0435,                 1.8664,                 1.3354,                0.00604,                0.00604,                0.00604
                     42,                0.97423,                  1.457,                  1.261,                0.55494,                0.37623,                0.38619,                0.29006,                 1.0642,                 1.8342,                 1.3384,               0.005941,               0.005941,               0.005941
                     43,                0.97567,                 1.4343,                 1.2567,                0.51274,                0.36207,                0.37649,                0.28699,                 1.0534,                 1.8276,                 1.3339,               0.005842,               0.005842,               0.005842
                     44,                0.96729,                 1.4389,                 1.2583,                 0.5223,                0.36381,                 0.3904,                0.29883,                 1.0376,                 1.8073,                 1.3296,               0.005743,               0.005743,               0.005743
