                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.74543,                 1.1255,                 1.2604,                0.57694,                0.47365,                0.49639,                0.40088,                0.84096,                 1.5707,                 1.3878,              0.0093497,              0.0093497,              0.0093497
                     35,                0.74264,                 1.1032,                 1.2682,                0.55344,                0.47123,                 0.4826,                0.39245,                0.84999,                 1.6194,                 1.3866,              0.0093107,              0.0093107,              0.0093107
                     36,                0.74384,                 1.1102,                 1.2667,                0.57368,                 0.4567,                 0.4795,                0.39243,                0.83613,                 1.5915,                 1.3732,              0.0092706,              0.0092706,              0.0092706
                     37,                0.73172,                 1.0923,                 1.2586,                0.59267,                0.45169,                 0.4893,                0.39465,                0.84748,                 1.5857,                 1.3795,              0.0092294,              0.0092294,              0.0092294
                     38,                0.74118,                  1.079,                 1.2621,                0.62106,                0.42832,                0.49306,                0.39522,                 0.8505,                 1.5991,                 1.3776,              0.0091872,              0.0091872,              0.0091872
                     39,                0.72736,                 1.0688,                 1.2551,                0.60418,                0.45368,                0.48616,                0.39074,                0.83613,                 1.5824,                  1.368,               0.009144,               0.009144,               0.009144
                     40,                0.71898,                 1.0536,                 1.2454,                0.54374,                0.46028,                0.47136,                0.38003,                0.83178,                 1.6333,                 1.3754,              0.0090998,              0.0090998,              0.0090998
                     41,                0.71626,                  1.035,                 1.2473,                0.56525,                0.46527,                0.49115,                0.39624,                 0.8293,                 1.5972,                  1.381,              0.0090546,              0.0090546,              0.0090546
                     42,                0.70682,                 1.0007,                  1.234,                0.61811,                0.43403,                0.49022,                0.40244,                0.82803,                 1.5934,                 1.3671,              0.0090084,              0.0090084,              0.0090084
                     43,                0.70064,                0.98287,                 1.2262,                 0.5953,                 0.4564,                0.48503,                0.39633,                0.81426,                 1.5799,                 1.3617,              0.0089613,              0.0089613,              0.0089613
                     44,                0.69949,                0.97437,                 1.2288,                0.60731,                0.45689,                0.48238,                0.39508,                0.82202,                 1.6096,                 1.3617,              0.0089131,              0.0089131,              0.0089131
                     45,                0.70095,                0.97904,                 1.2282,                0.59989,                0.45024,                0.48642,                0.39742,                0.82197,                 1.6182,                   1.37,               0.008864,               0.008864,               0.008864
                     46,                0.68521,                 0.9279,                 1.2144,                0.59666,                0.45761,                0.48387,                0.39535,                0.82369,                 1.6175,                 1.3649,               0.008814,               0.008814,               0.008814
                     47,                0.68666,                0.95344,                 1.2259,                0.63714,                 0.4351,                0.48328,                0.39734,                0.82816,                 1.6443,                 1.3631,               0.008763,               0.008763,               0.008763
                     48,                0.67419,                0.91352,                 1.2095,                0.64402,                0.43727,                0.49642,                0.41168,                 0.8147,                 1.6102,                 1.3651,              0.0087112,              0.0087112,              0.0087112
                     49,                0.67733,                0.91708,                 1.2115,                0.66828,                0.42567,                 0.4892,                0.40072,                0.81626,                 1.6211,                 1.3669,              0.0086584,              0.0086584,              0.0086584
                     50,                0.67401,                0.91047,                  1.215,                0.59116,                0.47201,                0.49042,                0.40246,                0.81532,                 1.6108,                 1.3755,              0.0086047,              0.0086047,              0.0086047
                     51,                0.66975,                0.89302,                 1.2085,                0.60003,                0.47792,                0.49787,                0.40749,                0.82722,                 1.6138,                 1.3678,              0.0085502,              0.0085502,              0.0085502
                     52,                 0.6675,                0.87167,                 1.1986,                0.61689,                0.46441,                0.50318,                0.41589,                0.80962,                 1.5914,                 1.3561,              0.0084948,              0.0084948,              0.0084948
                     53,                 0.6544,                0.85686,                 1.1945,                0.67446,                0.44543,                0.49639,                0.40679,                0.80806,                 1.6327,                  1.363,              0.0084385,              0.0084385,              0.0084385
                     54,                0.65191,                0.84305,                 1.1992,                0.61114,                0.45881,                0.48799,                0.40172,                0.81864,                 1.6491,                 1.3821,              0.0083814,              0.0083814,              0.0083814
                     55,                0.64953,                 0.8536,                 1.1937,                0.61013,                0.46747,                0.49325,                0.40656,                0.81306,                 1.6091,                 1.3668,              0.0083235,              0.0083235,              0.0083235
                     56,                0.64673,                0.83589,                 1.1848,                0.59779,                0.45705,                0.48394,                0.39685,                0.81849,                 1.6544,                 1.3757,              0.0082648,              0.0082648,              0.0082648
                     57,                0.64435,                0.81815,                  1.183,                0.60086,                0.44049,                0.49073,                0.40159,                0.81214,                 1.6344,                 1.3624,              0.0082052,              0.0082052,              0.0082052
                     58,                 0.6441,                 0.8127,                 1.1798,                 0.6234,                0.46162,                0.49884,                0.41352,                 0.8208,                   1.66,                  1.378,               0.008145,               0.008145,               0.008145
                     59,                0.63823,                0.80094,                 1.1813,                0.63893,                0.46086,                0.49635,                0.41085,                0.82501,                 1.6311,                 1.3868,              0.0080839,              0.0080839,              0.0080839
                     60,                0.63172,                0.78786,                 1.1743,                0.58499,                0.49519,                0.50373,                0.41761,                0.81931,                 1.6364,                  1.378,              0.0080221,              0.0080221,              0.0080221
                     61,                0.63082,                0.79192,                 1.1752,                0.61041,                0.49502,                0.51768,                0.42626,                0.81661,                 1.5998,                 1.3784,              0.0079595,              0.0079595,              0.0079595
                     62,                0.62953,                0.77487,                 1.1697,                0.58851,                0.48427,                0.49941,                0.41855,                0.81011,                 1.6352,                 1.3727,              0.0078963,              0.0078963,              0.0078963
                     63,                0.62099,                0.74813,                 1.1567,                0.60381,                0.47402,                0.49362,                0.40726,                0.80304,                 1.6313,                 1.3674,              0.0078323,              0.0078323,              0.0078323
                     64,                0.62221,                0.76445,                  1.165,                0.63474,                0.46406,                0.49318,                0.40588,                0.80234,                 1.6461,                 1.3669,              0.0077677,              0.0077677,              0.0077677
                     65,                0.61624,                0.75329,                 1.1644,                0.65681,                0.46086,                0.50019,                0.41219,                0.82339,                 1.6684,                 1.3813,              0.0077023,              0.0077023,              0.0077023
                     66,                0.61014,                0.72507,                 1.1528,                0.67085,                0.44432,                0.48985,                0.40136,                0.81083,                 1.6632,                 1.3762,              0.0076364,              0.0076364,              0.0076364
                     67,                0.61221,                0.73126,                 1.1544,                0.64336,                0.46293,                0.50163,                0.41534,                0.80807,                 1.6508,                 1.3792,              0.0075698,              0.0075698,              0.0075698
                     68,                0.60261,                0.72614,                 1.1507,                0.61724,                0.47022,                0.50454,                0.41508,                0.81457,                 1.6752,                 1.3789,              0.0075025,              0.0075025,              0.0075025
                     69,                0.60129,                 0.7241,                 1.1492,                0.62574,                0.47558,                0.51743,                0.43333,                0.79502,                 1.6444,                 1.3607,              0.0074347,              0.0074347,              0.0074347
                     70,                0.59489,                 0.7153,                 1.1456,                0.61938,                0.47091,                 0.5093,                0.42461,                 0.8056,                 1.6551,                 1.3724,              0.0073663,              0.0073663,              0.0073663
                     71,                0.59748,                0.69781,                 1.1454,                0.58817,                0.48809,                0.50756,                0.42109,                0.79676,                 1.6449,                  1.376,              0.0072973,              0.0072973,              0.0072973
                     72,                 0.5846,                0.68071,                  1.137,                0.62374,                0.45757,                0.49208,                0.41228,                0.80099,                 1.6962,                 1.3691,              0.0072277,              0.0072277,              0.0072277
                     73,                0.59329,                0.68187,                  1.135,                0.63028,                0.46917,                0.50476,                 0.4176,                0.81368,                 1.6576,                 1.3917,              0.0071576,              0.0071576,              0.0071576
                     74,                0.58739,                0.68972,                 1.1336,                0.59137,                0.46984,                0.49144,                0.41017,                0.80149,                 1.6607,                 1.3717,               0.007087,               0.007087,               0.007087
                     75,                0.58421,                0.68696,                 1.1307,                0.66667,                0.45201,                0.49944,                0.41525,                0.80445,                 1.6404,                 1.3807,              0.0070159,              0.0070159,              0.0070159
